neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,distance_to_nearest_stn
4,5,1.3471,103.77532,2,5.105945474,12,58,0,208,-0.427537116
0,4,1.29002,103.82315,1,4.158883083,1,5,0,0,-0.504432112
0,11,1.31462,103.89173,1,4.248495242,14,0,0,0,-1.156884589
3,33,1.34518,103.86094,1,4.248495242,1,110,1.098612289,29,-0.228680555
0,30,1.30148,103.85813,1,4.043051268,1,28,1.945910149,25,-1.363517284
1,1,1.31808,103.90582,1,4.356708827,1,2,0,362,-1.068005524
0,15,1.31944,103.86222,4,5.963579344,7,47,5.111987788,305,-2.80665246
0,11,1.3137,103.88765,2,4.48863637,4,46,4.304065093,63,-0.513554602
0,30,1.30348,103.85969,1,4.043051268,1,10,1.945910149,25,-0.66273745
4,13,1.3372,103.73606,1,3.80666249,1,28,0.693147181,358,-0.376630381
4,13,1.33856,103.73562,1,4.219507705,1,43,0.693147181,354,-0.624085145
0,11,1.31633,103.88539,2,4.553876892,4,56,4.304065093,88,-1.279690244
0,15,1.31172,103.86011,1,4.127134385,1,28,2.995732274,365,-0.955534697
0,15,1.31179,103.86002,1,4.025351691,1,205,2.995732274,365,-0.944849976
0,24,1.27641,103.84087,1,6.857514063,180,0,0.693147181,365,-0.921262718
0,24,1.28223,103.83867,1,3.912023005,180,0,0,365,-2.260118223
0,6,1.31995,103.79426,2,5.068904202,5,8,0,84,-0.080138949
0,11,1.31444,103.88709,2,4.442651256,5,49,4.304065093,30,-0.660786371
0,38,1.31595,103.8269,2,5.634789603,7,32,2.995732274,340,-0.764967553
0,11,1.31131,103.88343,1,4.094344562,1,66,3.663561646,359,-0.562862873
0,11,1.31372,103.88716,2,4.442651256,4,86,4.304065093,85,-0.57683756
0,24,1.28278,103.8445,4,3.36729583,1,49,2.564949357,365,-1.552311979
0,24,1.28332,103.8433,4,3.36729583,1,21,2.564949357,365,-2.156070104
0,34,1.29088,103.83891,1,4.744932128,2,0,0,0,-0.465062751
0,22,1.31718,103.84287,1,4.48863637,2,14,0.693147181,270,-0.978617193
0,4,1.27254,103.8337,2,5.746203191,2,205,0,343,0.031680523
0,38,1.29312,103.82979,2,5.384495063,2,310,0,267,-0.19166928
0,15,1.31409,103.87213,2,5.517452896,2,106,1.945910149,352,-1.205348744
0,22,1.32419,103.85284,4,5.472270674,5,26,5.111987788,306,0.082302973
